algorithm;runs;mean_best;best_value;mean_iterations;mean_evaluations
ГА вещественный, рулетка;20;-813.5597144662117;-959.6406622834148;100;10100
ГА вещественный, турнир;20;-852.3030121194394;-959.6406627206561;100;10100
ГА бинарный, рулетка;20;-957.9786403436376;-959.6306063158013;100;10100
ГА бинарный, турнир;20;-931.7385962192817;-959.6406492389842;100;10100
РА классический;20;-959.627391580898;-959.6406627162146;100;8080
РА с инерцией;20;-959.6406627208509;-959.640662720851;100;8080
